beam_name,length,concrete_area,concrete_cover,steel_area,frp_area,insulation_thickness,insulation_depth,conc_strength,steel_strength,frp_strength,glass_transition,thermal_conductivity,specific_heat,total_load,load_ratio,fire_resistance
B49,3660,125730,38,898.0,102.0,19.0,152.0,46.0,450,1172,82,0.156,510000,128.0,54.0,240
I1_ B1,1840,12000,10,63.31,0.0,0.0,0.0,39.0,419,0,0,0.0,0,3.82,46.6,45
I1_ B2,1440,12000,10,63.31,0.0,0.0,0.0,39.0,451,0,0,0.0,0,6.71,57.1,40
I1_ B3,1460,12000,10,63.31,0.0,0.0,0.0,30.0,416,0,0,0.0,0,8.19,68.54,30
I1_ B4,2180,14400,10,63.31,0.0,0.0,0.0,36.0,449,0,0,0.0,0,4.39,43.5,50
I1_ B5,1460,14400,10,63.31,0.0,0.0,0.0,39.0,459,0,0,0.0,0,9.06,59.48,35
I1_ B6,1280,14400,10,63.31,0.0,0.0,0.0,33.0,430,0,0,0.0,0,9.38,66.53,35
I1_ B7,2060,15000,10,63.31,0.0,0.0,0.0,28.0,440,0,0,0.0,0,4.97,47.48,45
I1_ B8,2220,15000,10,63.31,0.0,0.0,0.0,28.0,424,0,0,0.0,0,5.02,53.34,35
I1_ B9,1920,15000,10,63.31,0.0,0.0,0.0,28.0,432,0,0,0.0,0,10.24,69.21,35
I1_ B10,1840,15000,12,63.31,0.0,0.0,0.0,31.0,438,0,0,0.0,0,5.82,45.86,45
I1_ B11,1520,15000,12,63.31,0.0,0.0,0.0,32.0,419,0,0,0.0,0,9.53,60.46,40
I1_ B12,1440,15000,12,63.31,0.0,0.0,0.0,27.0,416,0,0,0.0,0,11.02,66.73,35
I1_ B13,1700,18000,10,63.31,0.0,0.0,0.0,28.0,457,0,0,0.0,0,5.91,45.03,45
I1_ B14,1440,18000,10,63.31,0.0,0.0,0.0,40.0,455,0,0,0.0,0,11.01,49.83,40
I1_ B15,2000,18000,10,63.31,0.0,0.0,0.0,31.0,457,0,0,0.0,0,7.81,62.87,35
I1_ B16,1520,18000,12,63.31,0.0,0.0,0.0,31.0,428,0,0,0.0,0,6.43,41.58,50
I1_ B17,1340,18000,12,63.31,0.0,0.0,0.0,34.0,424,0,0,0.0,0,11.02,50.79,40
I1_ B18,1460,18000,12,63.31,0.0,0.0,0.0,36.0,420,0,0,0.0,0,13.84,60.07,35
I1_ B19,1420,22500,10,142.59,0.0,0.0,0.0,33.0,456,0,0,0.0,0,13.65,44.92,45
I1_ B20,1880,22500,10,142.59,0.0,0.0,0.0,33.0,416,0,0,0.0,0,12.12,58.99,45
I1_ B21,1900,22500,10,142.59,0.0,0.0,0.0,38.0,435,0,0,0.0,0,19.66,71.02,35
I1_ B22,1280,22500,12,142.59,0.0,0.0,0.0,31.0,434,0,0,0.0,0,15.83,47.67,45
I1_ B23,2500,22500,12,142.59,0.0,0.0,0.0,34.0,458,0,0,0.0,0,14.43,58.4,45
I1_ B24,1760,22500,12,142.59,0.0,0.0,0.0,34.0,455,0,0,0.0,0,20.76,71.45,35
I1_ B25,1360,30000,10,142.59,0.0,0.0,0.0,30.0,432,0,0,0.0,0,19.89,44.99,55
I1_ B26,2120,30000,10,142.59,0.0,0.0,0.0,30.0,441,0,0,0.0,0,19.63,61.08,40
I1_ B27,2220,30000,10,142.59,0.0,0.0,0.0,27.0,429,0,0,0.0,0,22.95,68.16,35
I1_ B28,1580,30000,12,142.59,0.0,0.0,0.0,29.0,427,0,0,0.0,0,17.83,42.76,60
I1_ B29,1820,30000,12,142.59,0.0,0.0,0.0,30.0,424,0,0,0.0,0,20.74,51.09,50
I1_ B30,2160,30000,12,142.59,0.0,0.0,0.0,37.0,429,0,0,0.0,0,26.07,68.31,35
I1_ B31,2440,40000,10,142.59,0.0,0.0,0.0,37.0,422,0,0,0.0,0,14.89,37.76,55
I1_ B32,2000,40000,10,142.59,0.0,0.0,0.0,28.0,442,0,0,0.0,0,19.37,50.69,40
I1_ B33,1880,40000,10,142.59,0.0,0.0,0.0,39.0,426,0,0,0.0,0,20.91,58.28,35
I1_ B34,2120,40000,10,213.88,0.0,0.0,0.0,28.0,416,0,0,0.0,0,25.57,42.28,70
I1_ B35,1520,40000,10,213.88,0.0,0.0,0.0,39.0,436,0,0,0.0,0,41.66,53.88,55
I1_ B36,1760,40000,10,213.88,0.0,0.0,0.0,32.0,448,0,0,0.0,0,35.96,67.41,40
I1_ B37,1420,40000,12,142.59,0.0,0.0,0.0,32.0,452,0,0,0.0,0,20.57,44.82,50
I1_ B38,1380,40000,12,142.59,0.0,0.0,0.0,39.0,441,0,0,0.0,0,28.05,52.27,40
I1_ B39,1220,40000,12,142.59,0.0,0.0,0.0,29.0,437,0,0,0.0,0,34.67,63.37,40
I1_ B40,1320,40000,12,213.88,0.0,0.0,0.0,34.0,436,0,0,0.0,0,37.18,46.73,65
I1_ B41,1920,40000,12,213.88,0.0,0.0,0.0,39.0,460,0,0,0.0,0,32.73,57.14,60
I1_ B42,1920,40000,12,213.88,0.0,0.0,0.0,35.0,431,0,0,0.0,0,34.41,69.78,45
I1_ B43,1320,50000,10,213.88,0.0,0.0,0.0,33.0,419,0,0,0.0,0,44.35,40.13,70
I1_ B44,1880,50000,10,213.88,0.0,0.0,0.0,35.0,440,0,0,0.0,0,37.69,49.98,60
I1_ B45,1660,50000,10,213.88,0.0,0.0,0.0,28.0,415,0,0,0.0,0,43.91,67.37,5
I1_ B46,2280,50000,12,213.88,0.0,0.0,0.0,36.0,429,0,0,0.0,0,25.01,37.19,60
I1_ B47,1940,50000,12,213.88,0.0,0.0,0.0,27.0,438,0,0,0.0,0,36.68,55.68,55
I1_ B48,1600,50000,12,213.88,0.0,0.0,0.0,31.0,420,0,0,0.0,0,45.85,68.83,45
I1_ B49,1900,37500,19,142.59,0.0,0.0,0.0,31.0,427,0,0,0.0,0,27.99,47.19,55
I1_ B50,1940,37500,19,142.59,0.0,0.0,0.0,31.0,449,0,0,0.0,0,28.09,52.65,60
I1_ B51,1300,37500,19,142.59,0.0,0.0,0.0,37.0,429,0,0,0.0,0,57.62,65.2,50
I1_ B52,2160,37500,25,142.59,0.0,0.0,0.0,36.0,420,0,0,0.0,0,14.91,45.01,90
I1_ B53,1500,37500,25,142.59,0.0,0.0,0.0,32.0,431,0,0,0.0,0,27.83,47.48,85
I1_ B54,2000,37500,25,142.59,0.0,0.0,0.0,29.0,450,0,0,0.0,0,25.33,68.77,60
I1_ B55,2380,50000,19,253.23,0.0,0.0,0.0,37.0,434,0,0,0.0,0,24.98,42.23,65
I1_ B56,2340,50000,19,253.23,0.0,0.0,0.0,27.0,428,0,0,0.0,0,37.31,60.11,60
I1_ B57,1620,50000,19,253.23,0.0,0.0,0.0,28.0,420,0,0,0.0,0,42.38,69.97,60
I1_ B58,2020,50000,19,213.88,0.0,0.0,0.0,31.0,421,0,0,0.0,0,34.48,44.04,95
I1_ B59,1680,50000,19,213.88,0.0,0.0,0.0,37.0,454,0,0,0.0,0,42.65,51.87,60
I1_ B60,2200,50000,19,213.88,0.0,0.0,0.0,32.0,434,0,0,0.0,0,37.75,67.38,60
I1_ B61,2220,50000,25,253.23,0.0,0.0,0.0,36.0,435,0,0,0.0,0,21.02,39.86,125
I1_ B62,1720,50000,25,253.23,0.0,0.0,0.0,37.0,419,0,0,0.0,0,33.33,57.97,75
I1_ B63,1920,50000,25,253.23,0.0,0.0,0.0,35.0,434,0,0,0.0,0,37.46,69.96,75
I1_ B64,1720,50000,25,213.88,0.0,0.0,0.0,34.0,443,0,0,0.0,0,43.21,47.07,100
I1_ B65,1320,50000,25,213.88,0.0,0.0,0.0,29.0,448,0,0,0.0,0,51.95,54.6,75
I1_ B66,2020,50000,25,213.88,0.0,0.0,0.0,27.0,447,0,0,0.0,0,42.93,69.77,85
I1_ B67,2400,62500,19,253.23,0.0,0.0,0.0,30.0,435,0,0,0.0,0,19.71,40.15,80
I1_ B68,2380,62500,19,253.23,0.0,0.0,0.0,39.0,443,0,0,0.0,0,26.41,59.4,80
I1_ B69,1620,62500,19,253.23,0.0,0.0,0.0,31.0,445,0,0,0.0,0,48.52,66.16,65
I1_ B70,2300,62500,19,213.88,0.0,0.0,0.0,40.0,430,0,0,0.0,0,20.82,38.15,115
I1_ B71,2420,62500,19,213.88,0.0,0.0,0.0,32.0,447,0,0,0.0,0,37.11,48.88,65
I1_ B72,1880,62500,19,213.88,0.0,0.0,0.0,28.0,437,0,0,0.0,0,41.31,68.65,55
I1_ B73,2320,62500,19,379.84,0.0,0.0,0.0,32.0,416,0,0,0.0,0,34.2,40.27,90
I1_ B74,2500,62500,19,379.84,0.0,0.0,0.0,37.0,444,0,0,0.0,0,41.95,51.89,90
I1_ B75,2280,62500,19,379.84,0.0,0.0,0.0,36.0,459,0,0,0.0,0,54.39,69.53,80
I1_ B76,2140,62500,25,253.23,0.0,0.0,0.0,33.0,425,0,0,0.0,0,20.18,42.07,90
I1_ B77,2360,62500,25,253.23,0.0,0.0,0.0,40.0,415,0,0,0.0,0,31.95,49.32,90
I1_ B78,2460,62500,25,253.23,0.0,0.0,0.0,28.0,426,0,0,0.0,0,29.38,69.86,65
I1_ B79,1580,62500,25,213.88,0.0,0.0,0.0,39.0,416,0,0,0.0,0,35.55,41.29,115
I1_ B80,2240,62500,25,213.88,0.0,0.0,0.0,38.0,434,0,0,0.0,0,30.45,54.26,75
I1_ B81,1920,62500,25,213.88,0.0,0.0,0.0,28.0,415,0,0,0.0,0,40.44,61.1,80
I1_ B82,2360,62500,25,379.84,0.0,0.0,0.0,33.0,444,0,0,0.0,0,41.26,41.05,120
I1_ B83,2700,62500,25,379.84,0.0,0.0,0.0,40.0,452,0,0,0.0,0,39.07,59.27,80
I1_ B84,2440,62500,25,379.84,0.0,0.0,0.0,29.0,456,0,0,0.0,0,58.56,70.1,80
I1_ B85,2080,60000,25,253.23,0.0,0.0,0.0,32.0,437,0,0,0.0,0,34.99,44.01,110
I1_ B86,2600,60000,25,253.23,0.0,0.0,0.0,31.0,425,0,0,0.0,0,42.51,57.56,75
I1_ B87,2220,60000,25,253.23,0.0,0.0,0.0,28.0,421,0,0,0.0,0,44.07,70.42,85
I1_ B88,2680,60000,25,379.84,0.0,0.0,0.0,33.0,417,0,0,0.0,0,33.72,44.21,125
I1_ B89,2240,60000,25,379.84,0.0,0.0,0.0,38.0,438,0,0,0.0,0,53.68,58.56,90
I1_ B90,2020,60000,25,379.84,0.0,0.0,0.0,38.0,448,0,0,0.0,0,75.74,70.11,75
I1_ B91,1580,60000,38,253.23,0.0,0.0,0.0,30.0,453,0,0,0.0,0,47.66,42.8,150
I1_ B92,2700,60000,38,253.23,0.0,0.0,0.0,38.0,443,0,0,0.0,0,24.35,55.43,120
I1_ B93,2360,60000,38,253.23,0.0,0.0,0.0,30.0,418,0,0,0.0,0,40.7,65.26,90
I1_ B94,2020,60000,38,379.84,0.0,0.0,0.0,34.0,445,0,0,0.0,0,50.89,45.92,120
I1_ B95,1800,60000,38,379.84,0.0,0.0,0.0,28.0,434,0,0,0.0,0,83.78,57.0,105
I1_ B96,2080,60000,38,379.84,0.0,0.0,0.0,28.0,426,0,0,0.0,0,80.59,70.89,85
I1_ B97,2620,75000,25,253.23,0.0,0.0,0.0,33.0,459,0,0,0.0,0,30.15,43.41,80
I1_ B98,1920,75000,25,253.23,0.0,0.0,0.0,39.0,456,0,0,0.0,0,50.47,49.82,75
I1_ B99,1520,75000,25,253.23,0.0,0.0,0.0,27.0,439,0,0,0.0,0,75.25,67.87,65
I1_ B100,3700,75000,25,395.91,0.0,0.0,0.0,34.0,434,0,0,0.0,0,21.95,44.08,115
I1_ B101,5460,75000,25,395.91,0.0,0.0,0.0,33.0,446,0,0,0.0,0,20.09,59.12,70
I1_ B102,5440,75000,25,395.91,0.0,0.0,0.0,35.0,446,0,0,0.0,0,23.09,67.35,70
I1_ B103,1820,75000,25,379.84,0.0,0.0,0.0,40.0,432,0,0,0.0,0,55.45,42.01,115
I1_ B104,1740,75000,25,379.84,0.0,0.0,0.0,33.0,444,0,0,0.0,0,84.48,49.82,120
I1_ B105,2460,75000,25,379.84,0.0,0.0,0.0,39.0,456,0,0,0.0,0,64.18,68.63,80
I1_ B106,2620,75000,38,253.23,0.0,0.0,0.0,39.0,451,0,0,0.0,0,22.34,40.87,170
I1_ B107,1780,75000,38,253.23,0.0,0.0,0.0,28.0,453,0,0,0.0,0,50.09,54.74,115
I1_ B108,1980,75000,38,253.23,0.0,0.0,0.0,36.0,440,0,0,0.0,0,49.92,64.08,100
I1_ B109,3900,75000,38,395.91,0.0,0.0,0.0,31.0,444,0,0,0.0,0,17.76,47.35,205
I1_ B110,5040,75000,38,395.91,0.0,0.0,0.0,37.0,437,0,0,0.0,0,17.64,57.11,105
I1_ B111,4620,75000,38,395.91,0.0,0.0,0.0,33.0,438,0,0,0.0,0,22.71,66.82,105
I1_ B112,2560,75000,38,379.84,0.0,0.0,0.0,34.0,459,0,0,0.0,0,50.97,48.9,165
I1_ B113,2600,75000,38,379.84,0.0,0.0,0.0,32.0,445,0,0,0.0,0,43.03,55.86,115
I1_ B114,2220,75000,38,379.84,0.0,0.0,0.0,39.0,450,0,0,0.0,0,67.21,66.39,135
I1_ B115,4960,90000,25,395.91,0.0,0.0,0.0,29.0,418,0,0,0.0,0,13.95,39.29,105
I1_ B116,4580,90000,25,395.91,0.0,0.0,0.0,33.0,416,0,0,0.0,0,18.94,52.76,90
I1_ B117,4160,90000,25,395.91,0.0,0.0,0.0,33.0,444,0,0,0.0,0,26.94,65.73,75
I1_ B118,2120,90000,25,379.84,0.0,0.0,0.0,28.0,424,0,0,0.0,0,41.96,48.11,85
I1_ B119,2320,90000,25,379.84,0.0,0.0,0.0,40.0,427,0,0,0.0,0,50.4,53.2,105
I1_ B120,2260,90000,25,379.84,0.0,0.0,0.0,27.0,458,0,0,0.0,0,60.71,68.11,100
I1_ B121,3840,90000,38,395.91,0.0,0.0,0.0,32.0,415,0,0,0.0,0,19.73,46.83,135
I1_ B122,4620,90000,38,395.91,0.0,0.0,0.0,37.0,425,0,0,0.0,0,19.47,49.84,185
I1_ B123,5220,90000,38,395.91,0.0,0.0,0.0,30.0,435,0,0,0.0,0,19.32,65.32,115
I1_ B124,2680,90000,38,379.84,0.0,0.0,0.0,27.0,439,0,0,0.0,0,37.37,44.81,200
I1_ B125,1680,90000,38,379.84,0.0,0.0,0.0,35.0,451,0,0,0.0,0,85.23,51.66,10
I1_ B126,1940,90000,38,379.84,0.0,0.0,0.0,31.0,457,0,0,0.0,0,91.3,70.27,140
I1_ B127,4160,87500,25,395.91,0.0,0.0,0.0,40.0,434,0,0,0.0,0,23.35,41.37,125
I1_ B128,4700,87500,25,395.91,0.0,0.0,0.0,38.0,427,0,0,0.0,0,23.28,52.74,105
I1_ B129,5200,87500,25,395.91,0.0,0.0,0.0,38.0,453,0,0,0.0,0,29.12,65.26,70
I1_ B130,2600,87500,25,379.84,0.0,0.0,0.0,40.0,418,0,0,0.0,0,53.72,43.05,115
I1_ B131,2800,87500,25,379.84,0.0,0.0,0.0,31.0,451,0,0,0.0,0,54.08,56.42,115
I1_ B132,1560,87500,25,379.84,0.0,0.0,0.0,37.0,436,0,0,0.0,0,113.64,66.61,75
I1_ B133,3960,87500,38,395.91,0.0,0.0,0.0,37.0,445,0,0,0.0,0,25.58,43.71,190
I1_ B134,3620,87500,38,395.91,0.0,0.0,0.0,36.0,417,0,0,0.0,0,27.81,48.86,140
I1_ B135,4620,87500,38,395.91,0.0,0.0,0.0,35.0,424,0,0,0.0,0,26.63,65.18,115
I1_ B136,2480,87500,38,379.84,0.0,0.0,0.0,27.0,424,0,0,0.0,0,51.07,44.89,180
I1_ B137,2340,87500,38,379.84,0.0,0.0,0.0,38.0,443,0,0,0.0,0,54.07,47.64,120
I1_ B138,2400,87500,38,379.84,0.0,0.0,0.0,27.0,452,0,0,0.0,0,82.32,70.96,100
I1_ B139,4160,105000,25,395.91,0.0,0.0,0.0,40.0,417,0,0,0.0,0,19.88,38.26,130
I1_ B140,4040,105000,25,395.91,0.0,0.0,0.0,35.0,427,0,0,0.0,0,27.55,52.49,95
I1_ B141,4080,105000,25,395.91,0.0,0.0,0.0,28.0,422,0,0,0.0,0,30.4,68.87,65
I1_ B142,2200,105000,25,379.84,0.0,0.0,0.0,40.0,431,0,0,0.0,0,69.31,37.25,100
I1_ B143,1600,105000,25,379.84,0.0,0.0,0.0,38.0,425,0,0,0.0,0,113.45,51.56,120
I1_ B144,1540,105000,25,379.84,0.0,0.0,0.0,28.0,425,0,0,0.0,0,95.95,62.51,80
I1_ B145,4020,105000,25,593.87,0.0,0.0,0.0,33.0,444,0,0,0.0,0,31.82,42.16,175
I1_ B146,4720,105000,25,593.87,0.0,0.0,0.0,30.0,457,0,0,0.0,0,38.51,55.4,125
I1_ B147,4360,105000,25,593.87,0.0,0.0,0.0,38.0,457,0,0,0.0,0,51.53,67.57,80
I1_ B148,5320,105000,38,395.91,0.0,0.0,0.0,32.0,427,0,0,0.0,0,16.13,39.03,145
I1_ B149,4340,105000,38,395.91,0.0,0.0,0.0,39.0,420,0,0,0.0,0,28.66,56.21,140
I1_ B150,4780,105000,38,395.91,0.0,0.0,0.0,38.0,430,0,0,0.0,0,30.42,64.23,125
I1_ B151,2660,105000,38,379.84,0.0,0.0,0.0,34.0,442,0,0,0.0,0,57.67,41.68,180
I1_ B152,1700,105000,38,379.84,0.0,0.0,0.0,33.0,431,0,0,0.0,0,76.0,54.89,160
I1_ B153,1840,105000,38,379.84,0.0,0.0,0.0,33.0,415,0,0,0.0,0,76.21,64.08,120
I1_ B154,3660,105000,38,593.87,0.0,0.0,0.0,33.0,447,0,0,0.0,0,32.37,42.65,165
I1_ B155,4960,105000,38,593.87,0.0,0.0,0.0,39.0,423,0,0,0.0,0,29.81,52.95,125
I1_ B156,4860,105000,38,593.87,0.0,0.0,0.0,39.0,449,0,0,0.0,0,41.98,70.13,130
I1_ B157,4360,122500,25,395.91,0.0,0.0,0.0,32.0,440,0,0,0.0,0,22.38,39.63,85
I1_ B158,5400,122500,25,395.91,0.0,0.0,0.0,31.0,429,0,0,0.0,0,24.83,57.57,85
I1_ B159,3680,122500,25,395.91,0.0,0.0,0.0,33.0,441,0,0,0.0,0,42.07,62.82,70
I1_ B160,2200,122500,25,379.84,0.0,0.0,0.0,39.0,447,0,0,0.0,0,49.3,38.58,130
I1_ B161,2660,122500,25,379.84,0.0,0.0,0.0,33.0,425,0,0,0.0,0,73.74,49.52,110
I1_ B162,2600,122500,25,379.84,0.0,0.0,0.0,35.0,441,0,0,0.0,0,62.69,61.35,75
I1_ B163,4640,122500,25,593.87,0.0,0.0,0.0,40.0,429,0,0,0.0,0,30.03,40.35,175
I1_ B164,3580,122500,25,593.87,0.0,0.0,0.0,33.0,452,0,0,0.0,0,51.06,62.62,85
I1_ B165,4060,122500,25,593.87,0.0,0.0,0.0,31.0,443,0,0,0.0,0,53.61,66.14,80
I1_ B166,4940,122500,38,395.91,0.0,0.0,0.0,32.0,446,0,0,0.0,0,16.63,40.3,245
I1_ B167,3560,122500,38,395.91,0.0,0.0,0.0,35.0,458,0,0,0.0,0,34.91,53.11,10
I1_ B168,5160,122500,38,395.91,0.0,0.0,0.0,40.0,440,0,0,0.0,0,24.38,60.52,115
I1_ B169,2300,122500,38,379.84,0.0,0.0,0.0,33.0,456,0,0,0.0,0,59.32,40.63,245
I1_ B170,2120,122500,38,379.84,0.0,0.0,0.0,38.0,453,0,0,0.0,0,75.76,50.66,190
I1_ B171,2520,122500,38,379.84,0.0,0.0,0.0,28.0,420,0,0,0.0,0,85.75,64.78,155
I1_ B172,4180,122500,38,593.87,0.0,0.0,0.0,39.0,433,0,0,0.0,0,33.1,42.44,210
I1_ B173,3760,122500,38,593.87,0.0,0.0,0.0,32.0,424,0,0,0.0,0,41.91,58.07,150
I1_ B174,5260,122500,38,593.87,0.0,0.0,0.0,31.0,415,0,0,0.0,0,36.11,66.27,135
I1_ B175,4000,100000,25,395.91,0.0,0.0,0.0,36.0,428,0,0,0.0,0,23.43,37.63,95
I1_ B176,5060,100000,25,395.91,0.0,0.0,0.0,30.0,449,0,0,0.0,0,31.55,59.64,75
I1_ B177,4640,100000,25,395.91,0.0,0.0,0.0,39.0,455,0,0,0.0,0,37.19,67.07,75
I1_ B178,4940,100000,25,569.76,0.0,0.0,0.0,27.0,431,0,0,0.0,0,26.2,46.54,130
I1_ B179,4900,100000,25,569.76,0.0,0.0,0.0,37.0,438,0,0,0.0,0,32.58,59.19,80
I1_ B180,5100,100000,25,569.76,0.0,0.0,0.0,28.0,421,0,0,0.0,0,32.15,69.47,75
I1_ B181,4080,100000,25,593.87,0.0,0.0,0.0,38.0,443,0,0,0.0,0,39.37,44.72,105
I1_ B182,3800,100000,25,593.87,0.0,0.0,0.0,28.0,425,0,0,0.0,0,51.44,62.71,85
I1_ B183,5100,100000,25,593.87,0.0,0.0,0.0,29.0,440,0,0,0.0,0,43.67,68.44,80
I1_ B184,4280,100000,38,395.91,0.0,0.0,0.0,35.0,456,0,0,0.0,0,23.54,41.48,165
I1_ B185,5260,100000,38,395.91,0.0,0.0,0.0,36.0,431,0,0,0.0,0,24.78,55.3,125
I1_ B186,5120,100000,38,395.91,0.0,0.0,0.0,28.0,440,0,0,0.0,0,29.74,68.18,115
I1_ B187,4500,100000,38,569.76,0.0,0.0,0.0,39.0,437,0,0,0.0,0,25.02,42.49,220
I1_ B188,4280,100000,38,569.76,0.0,0.0,0.0,37.0,433,0,0,0.0,0,28.31,52.06,115
I1_ B189,5060,100000,38,569.76,0.0,0.0,0.0,27.0,416,0,0,0.0,0,34.32,70.6,125
I1_ B190,4600,100000,38,593.87,0.0,0.0,0.0,35.0,427,0,0,0.0,0,33.47,49.22,180
I1_ B191,5500,100000,38,593.87,0.0,0.0,0.0,28.0,435,0,0,0.0,0,34.32,58.64,155
I1_ B192,4120,100000,38,593.87,0.0,0.0,0.0,28.0,442,0,0,0.0,0,57.22,72.16,110
I1_ B193,4300,120000,25,395.91,0.0,0.0,0.0,30.0,449,0,0,0.0,0,26.02,45.37,90
I1_ B194,4660,120000,25,395.91,0.0,0.0,0.0,30.0,460,0,0,0.0,0,28.24,56.63,80
